title,composedby,key,timesig,bars,chordprog
Lullaby of Birdland,George Shearing,Ab,4 4,32,"Fm7 Dm7b5 | G7b9 C7b9 | Fm7 DbM7 | Bbm7 Eb7 |
Cm7 Fm7 | Bbm7 Eb7b9 | AbM7 Db7 | Gm7b5 C7 |
Fm7 Dm7b5 | G7b9 C7b9 | Fm7 DbM7 | Bbm7 Eb7 |
Cm7 Fm7 | Bbm7 Eb7b9 | AbM7 Eb7 | AbM7 |
F7b9 | Bbm7 | Bbm7 Eb7b9 | AbM7 |
F7b9 | Bbm7 | Eb7b9 | AbM7 C7alt |
Fm7 Dm7b5 | G7b9 C7b9 | Fm7 DbM7 | Bbm7 Eb7 |
Cm7 Fm7 | Bbm7 Eb7b9 | AbM7 Eb7 | AbM7 C7alt |"
It's A Most Unusual Day,Jimmy McHugh and HYarold Adamson,G,3 4,72,"F#/G F#/G G | Em7 | Am7 | D7 |
F#/G F#/G G | Em7 | Am7 | D7 |
G/B | CM7 | C#o7 | G/D |
Bm7 | Em7 | A7 | D7 |
F#/G F#/G G | Em7 | Am7 | D7 |
F#/G F#/G G | Em7 | Am7 | D7 |
G/B | CM7 | C#o7 | G/D |
Am7 | D7 | G6 | G6 Em7 Ebm7 |
Dm7 | G7 | CM7 | C6 Em7 Ebm7 |
Dm7 | G7 | CM7 | C6 F#m7 Fm7 |
Em7 | A7 | DM7 | D6 |
Am7 | D7 | Am7 | D7 |
F#/G F#/G G | Em7 | Am7 | D7 |
F#/G F#/G G | Em7 | Am7 | D7 |
G/B | CM7 | C#o7 | G/D |
Bm7 | Em7 | A7 | D7 |
Bm7 | CM7 | Bm7 | CM7 |
Bm7 | Am7 Am7 D7b9 | G6 | D7sus4 |"
Jump Monk,Charles Mingus,Ab,4 4,54,"Fm7 DbM7 | G7b5 C7 | Fm7 DbM7 | G7b5 C7 |
Fm7 | DbM7 | Gm7b5 | C7 |
Fm7 | DbM7 | Gm7b5 | C7 |
Fm7 | Fm7/Eb | Db7 | C7 |
Bbm7 | Bbm7/Ab | Gm7b5 | Gb7 |
Bbm7 | GbM7 | Cm7b5 | F7 |
Bbm7 | GbM7 | Cm7b5 | F7 |
Bbm7 | GbM7 | Cm7b5 | F7 |
Bbm7 | Ab7 | Gm7b5 | C7 |
Fm7 | DbM7 | Gm7b5 | C7 |
Fm7 | DbM7 | Gm7b5 | C7 |
Fm7 | Fm7/Eb | Db7 | C7 |
Bbm7 | Bbm7/Ab | Gm7b5 | Gb7 |
GbM7 | GbM7 |"
Nuages,Django Reinhardt and Jacques Larme,G,4 4,32,"Bbm7 Eb7 | Am7b5 D7b9 | G6 Am7 | Bm7 |
Bbm7 Eb7 | Am7b5 D7b9 | G6 | G6 |
F#m7b5 | B7 | Em7 | Em7 |
A7 Ab7 | A7 | D7 Am7 | D7 |
Bbm7 Eb7 | Am7b5 D7b9 | G6 | G6 |
Ebm7 Ab7 | Dm7b5 G7b9 | CM7 | CM7 |
Cm7 F7 | Cm7 F7 | G6 Am7 | Bm7 |
Bbm7 Eb7 | Am7b5 D7b9 | G6 C9 | G6 |"
Love Me Do,John Lennon and Paul McCartney,G,4 4,48,"G | C | G | C |
G | C | C | C |
C | G | C | G |
C | G | C | G |
C | G | C | C |
C | C | G | C |
G | G | D | D |
C G | G | D | D |
C G | G | G | C |
G | C | G | C |
C | C | C | G |
G | C | G | G |"
I'll Never Smile Again,Ruth Lowe,C,4 4,32,"Gm7/C | Gm7/C C7 | FM7/C | Abo7/C |
Gm7/C | Gm7/C C7 | FM7 | Cm7 F7 |
Bm7b5 Bbm6 | Am+ | Bbm7 Eb7 | Dm7 |
Bm7b5 E7 | Am7 D7 | Dm7 G7 | Gm7/C Abo7/C |
Gm7/C | Gm7/C C7 | FM7/C | Abo7/C |
Gm7/C | Gm7/C C7 | FM7 | Cm7 F7 |
BbM7 | Eb7 | FM7 | Am7 D7 |
Gm7 | Gm7 C7 | FM7 | Am7b5 D7b9 |"
I Didn't Know What Time It Was,Richard Rodgers,G,4 4,36,"F#m7b5 B7 | Em | F#m7b5 B7 | Em |
Am7 D7 | Em7 Em7 Em7 Bm | CM7 CM7 CM7 Bm | Am Am Dm7 D7 |
F#m7b5 B7 | Em | F#m7b5 B7 | Em |
Am7 D7 | Em7 Em7 Em7 Bm | CM7 CM7 CM7 Bm | Am Am F6 D7 |
G | Am B7 | Am B7 | Em |
CM7 D7 | G | Em7 A7 | D7 |
F#m7b5 B7 | Em | F#m7b5 B7 | Em |
Am7 | Em7 Em7 Em7 Bm | CM7 CM7 CM7 Bm | Am7 Am7 Am7 Cm6 |
G G G B7 | Am7 D7 | G | Em6 D7 |"
Mister Sandman,Pat Ballard,Bb,4 4,32,"BbM7 | BbM7 | E7 | A7 |
D7alt | D7alt | G7+ | G7+ |
C7 | C7 | F7 | F7 |
Dm7 | C#o7 | Gb7 | F7 |
BbM7 | BbM7 | E7 | A7 |
D7alt | D7alt | G7+ | G7+ |
Cm7 | Cm7 | Ebm7 | Ab7 |
BbM7 | C7 F7 | BbM7 | Cm7 F7b9 |"
Hurt So Bad,"Teddy Randazzo, Bobby Hart, and Bobby Wilding",Eb,4 4,56,"Fm7 | Gm7 | Fm7 | EbM7 |
Bbm7 | Cm7 F7 | GM7 | GM7 |
AbM7 | Gm7 | AbM7 | Gm7 |
AbM7 | Gm7 | Cm | Cm |
Fm7 | Gm7 | Fm7 | EbM7 |
Bbm7 | Cm7 F7 | GM7 | GM7 |
AbM7 | Gm7 | AbM7 | Gm7 |
AbM7 | Gm7 | Cm | Cm |
AbM7 | Gm7 | AbM7 | Gm7 |
Cm Gm7 | AbM7 Bb7 | Ab6 Gm7 | Fm7 Bb7 |
AbM7 | Gm7 | AbM7 | Gm7 |
AbM7 | Gm7 | Cm | Fm7 Bb7 |
AbM7 | Gm7 | AbM7 | Gm7 |
AbM7 | Gm7 | Cm | Cm |"
Life's Full of Consequence,Harold Arlen,C,4 4,37,"C Dm7 | C Gm7 | C Dm7 | Gm7 Gm7 Gm7 G7 |
C Dm7 | C Gm7 | C Dm7 | Dm7 E7 |
Am | F | Dm | Dm F+ Dm7 G+ |
C | C C Gm7 Do7 | Am Am C+ Am7 | Dm7 Dm7 Dm7 E7 |
Am6 Am6 Fm6 G7 | C | Gm7 G7 | C Dm7 |
C Gm7 | C Dm7 | Gm7 Gm7 Gm7 G7 | C Dm7 |
C Gm7 | C Dm7 | Dm7 E7 | Am |
F | Dm | Dm F+ Dm7 G+ | C Dm7 |
C C Gm7 Do7 | Am Am C+ Am7 | Dm7 Dm7 Dm7 E7 | Am6 Am6 Fm6 G7 |
C |"
One Finger Snap,Herbie Hancock,C,4 4,20,"NC | NC | NC NC NC NC NC NC NC AM13#11 | AM13#11 |
Bbm7/Eb | Eb7 | Bbm7/Eb | Eb7 |
Ebm7 | Ab7 | Ebm7 | Ab7 |
Gm7b5 | C7b9 | Fm7b5 | Bb7b9 |
EbM7 | EbM7 | Dm7b5 | G7b9 |"
